activation_function,batch_size,regularization,learning_rate,optimizer,best_val_accuracy,best_epoch
ReLU,64,,0.1,SGD,64.0,11
ReLU,64,,0.1,Adam,50.833333333333336,1
ReLU,64,,0.01,SGD,68.5,9
ReLU,64,,0.01,Adam,55.666666666666664,9
ReLU,64,,0.001,SGD,63.666666666666664,12
ReLU,64,,0.001,Adam,69.5,13
ReLU,64,L1,0.1,SGD,62.833333333333336,4
ReLU,64,L1,0.1,Adam,50.333333333333336,1
ReLU,64,L1,0.01,SGD,67.33333333333333,6
ReLU,64,L1,0.01,Adam,54.666666666666664,8
ReLU,64,L1,0.001,SGD,63.833333333333336,13
ReLU,64,L1,0.001,Adam,67.5,11
ReLU,64,L2,0.1,SGD,66.0,7
ReLU,64,L2,0.1,Adam,50.0,1
ReLU,64,L2,0.01,SGD,67.83333333333333,15
ReLU,64,L2,0.01,Adam,53.833333333333336,9
ReLU,64,L2,0.001,SGD,61.0,15
ReLU,64,L2,0.001,Adam,66.33333333333333,10
ReLU,128,,0.1,SGD,67.33333333333333,12
ReLU,128,,0.1,Adam,51.666666666666664,2
ReLU,128,,0.01,SGD,66.16666666666667,11
ReLU,128,,0.01,Adam,63.0,15
ReLU,128,,0.001,SGD,59.0,13
ReLU,128,,0.001,Adam,67.83333333333333,13
ReLU,128,L1,0.1,SGD,66.0,10
ReLU,128,L1,0.1,Adam,53.5,1
ReLU,128,L1,0.01,SGD,65.83333333333333,12
ReLU,128,L1,0.01,Adam,54.333333333333336,15
ReLU,128,L1,0.001,SGD,59.166666666666664,15
ReLU,128,L1,0.001,Adam,65.16666666666667,10
ReLU,128,L2,0.1,SGD,66.33333333333333,13
ReLU,128,L2,0.1,Adam,54.166666666666664,1
ReLU,128,L2,0.01,SGD,67.0,9
ReLU,128,L2,0.01,Adam,58.333333333333336,12
ReLU,128,L2,0.001,SGD,64.33333333333333,15
ReLU,128,L2,0.001,Adam,66.33333333333333,12
ReLU,256,,0.1,SGD,65.83333333333333,12
ReLU,256,,0.1,Adam,50.333333333333336,4
ReLU,256,,0.01,SGD,65.83333333333333,11
ReLU,256,,0.01,Adam,50.0,1
ReLU,256,,0.001,SGD,58.833333333333336,14
ReLU,256,,0.001,Adam,61.333333333333336,14
ReLU,256,L1,0.1,SGD,66.16666666666667,11
ReLU,256,L1,0.1,Adam,50.166666666666664,5
ReLU,256,L1,0.01,SGD,65.66666666666667,14
ReLU,256,L1,0.01,Adam,56.5,11
ReLU,256,L1,0.001,SGD,60.0,15
ReLU,256,L1,0.001,Adam,65.33333333333333,10
ReLU,256,L2,0.1,SGD,66.83333333333333,14
ReLU,256,L2,0.1,Adam,52.833333333333336,2
ReLU,256,L2,0.01,SGD,65.83333333333333,12
ReLU,256,L2,0.01,Adam,56.166666666666664,15
ReLU,256,L2,0.001,SGD,55.5,15
ReLU,256,L2,0.001,Adam,66.5,14
Sigmoid,64,,0.1,SGD,60.333333333333336,15
Sigmoid,64,,0.1,Adam,50.0,1
Sigmoid,64,,0.01,SGD,55.333333333333336,14
Sigmoid,64,,0.01,Adam,50.0,1
Sigmoid,64,,0.001,SGD,50.333333333333336,14
Sigmoid,64,,0.001,Adam,61.333333333333336,12
Sigmoid,64,L1,0.1,SGD,50.0,1
Sigmoid,64,L1,0.1,Adam,50.0,1
Sigmoid,64,L1,0.01,SGD,56.666666666666664,5
Sigmoid,64,L1,0.01,Adam,50.0,1
Sigmoid,64,L1,0.001,SGD,52.5,10
Sigmoid,64,L1,0.001,Adam,50.0,1
Sigmoid,64,L2,0.1,SGD,55.666666666666664,1
Sigmoid,64,L2,0.1,Adam,50.0,1
Sigmoid,64,L2,0.01,SGD,56.333333333333336,12
Sigmoid,64,L2,0.01,Adam,50.0,1
Sigmoid,64,L2,0.001,SGD,54.666666666666664,14
Sigmoid,64,L2,0.001,Adam,55.5,2
Sigmoid,128,,0.1,SGD,58.666666666666664,5
Sigmoid,128,,0.1,Adam,50.0,1
Sigmoid,128,,0.01,SGD,56.5,14
Sigmoid,128,,0.01,Adam,50.0,1
Sigmoid,128,,0.001,SGD,51.333333333333336,9
Sigmoid,128,,0.001,Adam,61.166666666666664,15
Sigmoid,128,L1,0.1,SGD,52.5,12
Sigmoid,128,L1,0.1,Adam,50.0,1
Sigmoid,128,L1,0.01,SGD,58.666666666666664,9
Sigmoid,128,L1,0.01,Adam,50.0,1
Sigmoid,128,L1,0.001,SGD,52.333333333333336,15
Sigmoid,128,L1,0.001,Adam,50.0,1
Sigmoid,128,L2,0.1,SGD,60.5,9
Sigmoid,128,L2,0.1,Adam,50.0,1
Sigmoid,128,L2,0.01,SGD,58.833333333333336,15
Sigmoid,128,L2,0.01,Adam,50.0,1
Sigmoid,128,L2,0.001,SGD,53.833333333333336,9
Sigmoid,128,L2,0.001,Adam,58.5,13
Sigmoid,256,,0.1,SGD,59.0,9
Sigmoid,256,,0.1,Adam,50.0,1
Sigmoid,256,,0.01,SGD,55.333333333333336,11
Sigmoid,256,,0.01,Adam,50.0,1
Sigmoid,256,,0.001,SGD,50.0,1
Sigmoid,256,,0.001,Adam,60.0,10
Sigmoid,256,L1,0.1,SGD,58.0,12
Sigmoid,256,L1,0.1,Adam,50.0,1
Sigmoid,256,L1,0.01,SGD,53.333333333333336,12
Sigmoid,256,L1,0.01,Adam,50.0,1
Sigmoid,256,L1,0.001,SGD,50.166666666666664,13
Sigmoid,256,L1,0.001,Adam,50.0,1
Sigmoid,256,L2,0.1,SGD,58.666666666666664,11
Sigmoid,256,L2,0.1,Adam,50.0,1
Sigmoid,256,L2,0.01,SGD,55.333333333333336,12
Sigmoid,256,L2,0.01,Adam,50.0,1
Sigmoid,256,L2,0.001,SGD,50.0,1
Sigmoid,256,L2,0.001,Adam,55.333333333333336,14
Tanh,64,,0.1,SGD,64.83333333333333,14
Tanh,64,,0.1,Adam,50.0,1
Tanh,64,,0.01,SGD,66.5,8
Tanh,64,,0.01,Adam,59.0,10
Tanh,64,,0.001,SGD,61.666666666666664,15
Tanh,64,,0.001,Adam,66.66666666666667,10
Tanh,64,L1,0.1,SGD,59.166666666666664,3
Tanh,64,L1,0.1,Adam,52.833333333333336,8
Tanh,64,L1,0.01,SGD,64.33333333333333,15
Tanh,64,L1,0.01,Adam,52.833333333333336,2
Tanh,64,L1,0.001,SGD,62.0,13
Tanh,64,L1,0.001,Adam,60.166666666666664,9
Tanh,64,L2,0.1,SGD,63.166666666666664,9
Tanh,64,L2,0.1,Adam,50.5,9
Tanh,64,L2,0.01,SGD,64.83333333333333,15
Tanh,64,L2,0.01,Adam,50.333333333333336,5
Tanh,64,L2,0.001,SGD,60.833333333333336,15
Tanh,64,L2,0.001,Adam,64.16666666666667,5
Tanh,128,,0.1,SGD,66.33333333333333,13
Tanh,128,,0.1,Adam,52.0,2
Tanh,128,,0.01,SGD,62.833333333333336,11
Tanh,128,,0.01,Adam,60.333333333333336,15
Tanh,128,,0.001,SGD,60.333333333333336,14
Tanh,128,,0.001,Adam,66.16666666666667,15
Tanh,128,L1,0.1,SGD,62.666666666666664,11
Tanh,128,L1,0.1,Adam,56.0,3
Tanh,128,L1,0.01,SGD,65.66666666666667,13
Tanh,128,L1,0.01,Adam,56.333333333333336,6
Tanh,128,L1,0.001,SGD,62.833333333333336,15
Tanh,128,L1,0.001,Adam,59.666666666666664,3
Tanh,128,L2,0.1,SGD,64.0,14
Tanh,128,L2,0.1,Adam,52.833333333333336,15
Tanh,128,L2,0.01,SGD,63.166666666666664,15
Tanh,128,L2,0.01,Adam,58.333333333333336,12
Tanh,128,L2,0.001,SGD,59.5,14
Tanh,128,L2,0.001,Adam,63.833333333333336,7
Tanh,256,,0.1,SGD,68.16666666666667,9
Tanh,256,,0.1,Adam,54.5,8
Tanh,256,,0.01,SGD,65.5,13
Tanh,256,,0.01,Adam,56.333333333333336,12
Tanh,256,,0.001,SGD,58.666666666666664,15
Tanh,256,,0.001,Adam,62.333333333333336,13
Tanh,256,L1,0.1,SGD,63.0,15
Tanh,256,L1,0.1,Adam,53.666666666666664,9
Tanh,256,L1,0.01,SGD,62.833333333333336,12
Tanh,256,L1,0.01,Adam,57.833333333333336,14
Tanh,256,L1,0.001,SGD,59.333333333333336,14
Tanh,256,L1,0.001,Adam,64.33333333333333,4
Tanh,256,L2,0.1,SGD,63.833333333333336,14
Tanh,256,L2,0.1,Adam,50.0,1
Tanh,256,L2,0.01,SGD,63.666666666666664,13
Tanh,256,L2,0.01,Adam,59.333333333333336,6
Tanh,256,L2,0.001,SGD,57.666666666666664,14
Tanh,256,L2,0.001,Adam,64.0,11
LeakyReLU,64,,0.1,SGD,67.16666666666667,14
LeakyReLU,64,,0.1,Adam,53.5,9
LeakyReLU,64,,0.01,SGD,68.83333333333333,15
LeakyReLU,64,,0.01,Adam,58.0,13
LeakyReLU,64,,0.001,SGD,64.66666666666667,13
LeakyReLU,64,,0.001,Adam,68.16666666666667,11
LeakyReLU,64,L1,0.1,SGD,62.333333333333336,6
LeakyReLU,64,L1,0.1,Adam,50.5,6
LeakyReLU,64,L1,0.01,SGD,66.0,10
LeakyReLU,64,L1,0.01,Adam,54.166666666666664,2
LeakyReLU,64,L1,0.001,SGD,64.16666666666667,13
LeakyReLU,64,L1,0.001,Adam,65.33333333333333,13
LeakyReLU,64,L2,0.1,SGD,66.66666666666667,15
LeakyReLU,64,L2,0.1,Adam,50.0,1
LeakyReLU,64,L2,0.01,SGD,66.0,12
LeakyReLU,64,L2,0.01,Adam,52.666666666666664,8
LeakyReLU,64,L2,0.001,SGD,65.16666666666667,15
LeakyReLU,64,L2,0.001,Adam,65.83333333333333,14
LeakyReLU,128,,0.1,SGD,66.83333333333333,9
LeakyReLU,128,,0.1,Adam,54.333333333333336,10
LeakyReLU,128,,0.01,SGD,66.33333333333333,14
LeakyReLU,128,,0.01,Adam,64.16666666666667,14
LeakyReLU,128,,0.001,SGD,59.666666666666664,15
LeakyReLU,128,,0.001,Adam,67.16666666666667,8
LeakyReLU,128,L1,0.1,SGD,66.33333333333333,8
LeakyReLU,128,L1,0.1,Adam,51.166666666666664,4
LeakyReLU,128,L1,0.01,SGD,66.66666666666667,12
LeakyReLU,128,L1,0.01,Adam,61.0,14
LeakyReLU,128,L1,0.001,SGD,60.5,15
LeakyReLU,128,L1,0.001,Adam,65.66666666666667,12
LeakyReLU,128,L2,0.1,SGD,66.33333333333333,9
LeakyReLU,128,L2,0.1,Adam,50.0,2
LeakyReLU,128,L2,0.01,SGD,66.0,15
LeakyReLU,128,L2,0.01,Adam,54.166666666666664,15
LeakyReLU,128,L2,0.001,SGD,60.166666666666664,15
LeakyReLU,128,L2,0.001,Adam,67.33333333333333,8
LeakyReLU,256,,0.1,SGD,65.0,14
LeakyReLU,256,,0.1,Adam,53.333333333333336,3
LeakyReLU,256,,0.01,SGD,65.83333333333333,9
LeakyReLU,256,,0.01,Adam,58.333333333333336,15
LeakyReLU,256,,0.001,SGD,53.333333333333336,14
LeakyReLU,256,,0.001,Adam,65.83333333333333,15
LeakyReLU,256,L1,0.1,SGD,63.166666666666664,14
LeakyReLU,256,L1,0.1,Adam,54.5,3
LeakyReLU,256,L1,0.01,SGD,66.83333333333333,15
LeakyReLU,256,L1,0.01,Adam,56.333333333333336,15
LeakyReLU,256,L1,0.001,SGD,59.833333333333336,15
LeakyReLU,256,L1,0.001,Adam,64.66666666666667,15
LeakyReLU,256,L2,0.1,SGD,66.16666666666667,15
LeakyReLU,256,L2,0.1,Adam,51.833333333333336,3
LeakyReLU,256,L2,0.01,SGD,65.83333333333333,11
LeakyReLU,256,L2,0.01,Adam,58.5,14
LeakyReLU,256,L2,0.001,SGD,56.0,14
LeakyReLU,256,L2,0.001,Adam,66.16666666666667,11
LogSigmoid,64,,0.1,SGD,61.833333333333336,11
LogSigmoid,64,,0.1,Adam,50.0,1
LogSigmoid,64,,0.01,SGD,62.333333333333336,12
LogSigmoid,64,,0.01,Adam,50.0,1
LogSigmoid,64,,0.001,SGD,53.166666666666664,15
LogSigmoid,64,,0.001,Adam,61.166666666666664,12
LogSigmoid,64,L1,0.1,SGD,59.333333333333336,12
LogSigmoid,64,L1,0.1,Adam,50.833333333333336,5
LogSigmoid,64,L1,0.01,SGD,61.5,14
LogSigmoid,64,L1,0.01,Adam,50.0,1
LogSigmoid,64,L1,0.001,SGD,54.166666666666664,14
LogSigmoid,64,L1,0.001,Adam,54.0,14
LogSigmoid,64,L2,0.1,SGD,61.0,11
LogSigmoid,64,L2,0.1,Adam,50.0,1
LogSigmoid,64,L2,0.01,SGD,62.166666666666664,12
LogSigmoid,64,L2,0.01,Adam,50.0,1
LogSigmoid,64,L2,0.001,SGD,58.166666666666664,14
LogSigmoid,64,L2,0.001,Adam,58.5,14
LogSigmoid,128,,0.1,SGD,62.333333333333336,14
LogSigmoid,128,,0.1,Adam,50.0,1
LogSigmoid,128,,0.01,SGD,60.333333333333336,11
LogSigmoid,128,,0.01,Adam,50.0,1
LogSigmoid,128,,0.001,SGD,53.833333333333336,15
LogSigmoid,128,,0.001,Adam,59.666666666666664,15
LogSigmoid,128,L1,0.1,SGD,58.166666666666664,7
LogSigmoid,128,L1,0.1,Adam,55.833333333333336,6
LogSigmoid,128,L1,0.01,SGD,60.833333333333336,15
LogSigmoid,128,L1,0.01,Adam,50.833333333333336,3
LogSigmoid,128,L1,0.001,SGD,54.666666666666664,14
LogSigmoid,128,L1,0.001,Adam,58.5,13
LogSigmoid,128,L2,0.1,SGD,59.666666666666664,9
LogSigmoid,128,L2,0.1,Adam,50.0,1
LogSigmoid,128,L2,0.01,SGD,61.166666666666664,13
LogSigmoid,128,L2,0.01,Adam,55.333333333333336,5
LogSigmoid,128,L2,0.001,SGD,61.166666666666664,15
LogSigmoid,128,L2,0.001,Adam,59.333333333333336,9
LogSigmoid,256,,0.1,SGD,61.166666666666664,15
LogSigmoid,256,,0.1,Adam,50.0,1
LogSigmoid,256,,0.01,SGD,61.666666666666664,12
LogSigmoid,256,,0.01,Adam,50.0,1
LogSigmoid,256,,0.001,SGD,56.833333333333336,4
LogSigmoid,256,,0.001,Adam,57.833333333333336,14
LogSigmoid,256,L1,0.1,SGD,59.333333333333336,11
LogSigmoid,256,L1,0.1,Adam,50.0,1
LogSigmoid,256,L1,0.01,SGD,59.666666666666664,12
LogSigmoid,256,L1,0.01,Adam,50.0,1
LogSigmoid,256,L1,0.001,SGD,58.666666666666664,14
LogSigmoid,256,L1,0.001,Adam,58.166666666666664,8
LogSigmoid,256,L2,0.1,SGD,57.833333333333336,9
LogSigmoid,256,L2,0.1,Adam,50.0,2
LogSigmoid,256,L2,0.01,SGD,59.166666666666664,10
LogSigmoid,256,L2,0.01,Adam,50.0,1
LogSigmoid,256,L2,0.001,SGD,55.333333333333336,15
LogSigmoid,256,L2,0.001,Adam,61.833333333333336,14
ELU,64,,0.1,SGD,64.83333333333333,10
ELU,64,,0.1,Adam,53.666666666666664,2
ELU,64,,0.01,SGD,66.33333333333333,7
ELU,64,,0.01,Adam,60.166666666666664,11
ELU,64,,0.001,SGD,64.16666666666667,13
ELU,64,,0.001,Adam,67.83333333333333,10
ELU,64,L1,0.1,SGD,60.666666666666664,4
ELU,64,L1,0.1,Adam,52.833333333333336,10
ELU,64,L1,0.01,SGD,67.0,10
ELU,64,L1,0.01,Adam,54.333333333333336,7
ELU,64,L1,0.001,SGD,65.16666666666667,14
ELU,64,L1,0.001,Adam,64.83333333333333,12
ELU,64,L2,0.1,SGD,66.5,13
ELU,64,L2,0.1,Adam,53.0,5
ELU,64,L2,0.01,SGD,67.33333333333333,12
ELU,64,L2,0.01,Adam,57.0,8
ELU,64,L2,0.001,SGD,65.5,12
ELU,64,L2,0.001,Adam,65.33333333333333,8
ELU,128,,0.1,SGD,64.33333333333333,12
ELU,128,,0.1,Adam,55.0,14
ELU,128,,0.01,SGD,64.5,7
ELU,128,,0.01,Adam,60.333333333333336,15
ELU,128,,0.001,SGD,64.66666666666667,13
ELU,128,,0.001,Adam,65.33333333333333,14
ELU,128,L1,0.1,SGD,63.333333333333336,13
ELU,128,L1,0.1,Adam,53.5,12
ELU,128,L1,0.01,SGD,67.33333333333333,11
ELU,128,L1,0.01,Adam,60.333333333333336,12
ELU,128,L1,0.001,SGD,62.0,15
ELU,128,L1,0.001,Adam,64.83333333333333,11
ELU,128,L2,0.1,SGD,63.833333333333336,14
ELU,128,L2,0.1,Adam,53.666666666666664,1
ELU,128,L2,0.01,SGD,66.33333333333333,12
ELU,128,L2,0.01,Adam,59.0,15
ELU,128,L2,0.001,SGD,61.5,15
ELU,128,L2,0.001,Adam,64.66666666666667,13
ELU,256,,0.1,SGD,63.333333333333336,9
ELU,256,,0.1,Adam,53.5,1
ELU,256,,0.01,SGD,65.5,10
ELU,256,,0.01,Adam,57.833333333333336,13
ELU,256,,0.001,SGD,59.833333333333336,13
ELU,256,,0.001,Adam,65.66666666666667,15
ELU,256,L1,0.1,SGD,60.833333333333336,13
ELU,256,L1,0.1,Adam,52.166666666666664,15
ELU,256,L1,0.01,SGD,65.5,12
ELU,256,L1,0.01,Adam,56.833333333333336,5
ELU,256,L1,0.001,SGD,59.666666666666664,15
ELU,256,L1,0.001,Adam,62.166666666666664,10
ELU,256,L2,0.1,SGD,64.83333333333333,15
ELU,256,L2,0.1,Adam,52.5,13
ELU,256,L2,0.01,SGD,66.16666666666667,14
ELU,256,L2,0.01,Adam,55.5,13
ELU,256,L2,0.001,SGD,64.66666666666667,14
ELU,256,L2,0.001,Adam,67.33333333333333,12
SiLU,64,,0.1,SGD,65.33333333333333,8
SiLU,64,,0.1,Adam,50.0,1
SiLU,64,,0.01,SGD,67.33333333333333,15
SiLU,64,,0.01,Adam,58.5,7
SiLU,64,,0.001,SGD,64.0,15
SiLU,64,,0.001,Adam,67.16666666666667,14
SiLU,64,L1,0.1,SGD,62.0,12
SiLU,64,L1,0.1,Adam,52.0,1
SiLU,64,L1,0.01,SGD,65.5,7
SiLU,64,L1,0.01,Adam,54.333333333333336,6
SiLU,64,L1,0.001,SGD,63.833333333333336,15
SiLU,64,L1,0.001,Adam,66.66666666666667,13
SiLU,64,L2,0.1,SGD,64.33333333333333,11
SiLU,64,L2,0.1,Adam,54.0,5
SiLU,64,L2,0.01,SGD,65.16666666666667,6
SiLU,64,L2,0.01,Adam,55.333333333333336,3
SiLU,64,L2,0.001,SGD,62.5,15
SiLU,64,L2,0.001,Adam,64.16666666666667,11
SiLU,128,,0.1,SGD,65.16666666666667,11
SiLU,128,,0.1,Adam,53.0,7
SiLU,128,,0.01,SGD,67.16666666666667,14
SiLU,128,,0.01,Adam,64.16666666666667,13
SiLU,128,,0.001,SGD,54.333333333333336,14
SiLU,128,,0.001,Adam,68.16666666666667,15
SiLU,128,L1,0.1,SGD,65.83333333333333,13
SiLU,128,L1,0.1,Adam,51.166666666666664,8
SiLU,128,L1,0.01,SGD,65.5,11
SiLU,128,L1,0.01,Adam,55.0,13
SiLU,128,L1,0.001,SGD,60.333333333333336,14
SiLU,128,L1,0.001,Adam,65.66666666666667,14
SiLU,128,L2,0.1,SGD,67.33333333333333,15
SiLU,128,L2,0.1,Adam,52.166666666666664,10
SiLU,128,L2,0.01,SGD,66.16666666666667,11
SiLU,128,L2,0.01,Adam,56.666666666666664,6
SiLU,128,L2,0.001,SGD,53.5,13
SiLU,128,L2,0.001,Adam,67.0,14
SiLU,256,,0.1,SGD,66.16666666666667,13
SiLU,256,,0.1,Adam,53.5,14
SiLU,256,,0.01,SGD,62.666666666666664,10
SiLU,256,,0.01,Adam,50.0,2
SiLU,256,,0.001,SGD,58.0,15
SiLU,256,,0.001,Adam,65.0,14
SiLU,256,L1,0.1,SGD,67.33333333333333,10
SiLU,256,L1,0.1,Adam,54.333333333333336,7
SiLU,256,L1,0.01,SGD,64.33333333333333,12
SiLU,256,L1,0.01,Adam,54.666666666666664,12
SiLU,256,L1,0.001,SGD,52.333333333333336,15
SiLU,256,L1,0.001,Adam,66.83333333333333,14
SiLU,256,L2,0.1,SGD,67.83333333333333,12
SiLU,256,L2,0.1,Adam,51.833333333333336,4
SiLU,256,L2,0.01,SGD,64.66666666666667,14
SiLU,256,L2,0.01,Adam,57.833333333333336,8
SiLU,256,L2,0.001,SGD,55.666666666666664,13
SiLU,256,L2,0.001,Adam,66.16666666666667,15
Softplus,64,,0.1,SGD,63.166666666666664,15
Softplus,64,,0.1,Adam,50.0,1
Softplus,64,,0.01,SGD,65.0,15
Softplus,64,,0.01,Adam,50.0,1
Softplus,64,,0.001,SGD,61.333333333333336,12
Softplus,64,,0.001,Adam,61.5,10
Softplus,64,L1,0.1,SGD,50.0,1
Softplus,64,L1,0.1,Adam,50.833333333333336,10
Softplus,64,L1,0.01,SGD,63.666666666666664,9
Softplus,64,L1,0.01,Adam,50.0,1
Softplus,64,L1,0.001,SGD,61.666666666666664,15
Softplus,64,L1,0.001,Adam,56.0,13
Softplus,64,L2,0.1,SGD,56.666666666666664,12
Softplus,64,L2,0.1,Adam,50.0,1
Softplus,64,L2,0.01,SGD,66.0,14
Softplus,64,L2,0.01,Adam,50.0,1
Softplus,64,L2,0.001,SGD,62.0,15
Softplus,64,L2,0.001,Adam,58.666666666666664,9
Softplus,128,,0.1,SGD,62.333333333333336,8
Softplus,128,,0.1,Adam,50.0,1
Softplus,128,,0.01,SGD,63.833333333333336,15
Softplus,128,,0.01,Adam,50.0,1
Softplus,128,,0.001,SGD,52.166666666666664,14
Softplus,128,,0.001,Adam,55.166666666666664,14
Softplus,128,L1,0.1,SGD,58.833333333333336,9
Softplus,128,L1,0.1,Adam,50.0,1
Softplus,128,L1,0.01,SGD,63.5,14
Softplus,128,L1,0.01,Adam,50.0,1
Softplus,128,L1,0.001,SGD,58.5,10
Softplus,128,L1,0.001,Adam,55.0,11
Softplus,128,L2,0.1,SGD,57.666666666666664,11
Softplus,128,L2,0.1,Adam,50.0,1
Softplus,128,L2,0.01,SGD,65.5,14
Softplus,128,L2,0.01,Adam,52.0,4
Softplus,128,L2,0.001,SGD,60.666666666666664,14
Softplus,128,L2,0.001,Adam,64.33333333333333,11
Softplus,256,,0.1,SGD,59.833333333333336,12
Softplus,256,,0.1,Adam,50.0,1
Softplus,256,,0.01,SGD,63.666666666666664,14
Softplus,256,,0.01,Adam,50.0,1
Softplus,256,,0.001,SGD,53.666666666666664,15
Softplus,256,,0.001,Adam,54.833333333333336,12
Softplus,256,L1,0.1,SGD,55.333333333333336,8
Softplus,256,L1,0.1,Adam,50.0,1
Softplus,256,L1,0.01,SGD,62.333333333333336,15
Softplus,256,L1,0.01,Adam,53.333333333333336,14
Softplus,256,L1,0.001,SGD,52.333333333333336,15
Softplus,256,L1,0.001,Adam,58.833333333333336,14
Softplus,256,L2,0.1,SGD,57.666666666666664,8
Softplus,256,L2,0.1,Adam,50.5,9
Softplus,256,L2,0.01,SGD,63.5,10
Softplus,256,L2,0.01,Adam,53.5,4
Softplus,256,L2,0.001,SGD,52.666666666666664,15
Softplus,256,L2,0.001,Adam,61.833333333333336,15
